question_id,source_file_name,subject,quiz_name,question_number,difficulty,domain,Primary_Classification,Sub_Classification,Concept_Classification,question_type,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
DT-T0-RW-M2-1,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,1,Easy,Craft & Structure,Words_In_Context,Vocabulary,Vocabulary_Words_In_Context,multiple_choice,"The Citizeness Gamelin put the soup on the table, said the Benedicite, seated her son and her guest, and began to eat standing up, declining the chair which Brotteaux offered her next to him, since, she said, she knew what courtesy required of her. As used in the text, what does the word “declining” most nearly mean?",,Repulsing,Decreasing,Turning down,Plummeting,,Turning down,"Gamelin politely refuses to sit in the chair that is offered to her, so she is best described as ""turning down"" the chair. ""Repulsing"" is too negative, and ""decreasing"" and ""plummeting"" generally relate to amounts of things.","The text describes a social interaction where Brotteaux offered Gamelin a chair, and she responded by ""declining"" it out of a sense of courtesy. In this context, to decline an offer is to politely refuse it. Therefore, ""turning down"" is the most accurate synonym.","This is incorrect. 'Repulsing' means to drive back or cause disgust. Gamelin's action is based on courtesy, not disgust, so this word is too strong and negative.",This is incorrect. 'Decreasing' means to become smaller in size or amount. This does not fit the context of responding to an offer.,"This is the correct answer. 'Turning down' is an idiomatic phrase that means to refuse or reject an offer, which perfectly matches the context of Gamelin politely refusing the offered chair.",This is incorrect. 'Plummeting' means to fall or drop straight down at high speed. This is completely unrelated to the social interaction described.
DT-T0-RW-M2-2,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,2,Easy,Craft & Structure,Words_In_Context,Vocabulary,Vocabulary_Words_In_Context,multiple_choice,"The stove and the oven remain to this day our most-used cooking technologies... The commercialization of natural gas in late 19thcentury England eventually gave cooks the ability to precisely ____________ their cooking flame... To this day, gas ranges are preferred by many professional chefs. Which choice completes the text with the most logical and precise word or phrase?",,Annihilate,Satisfy,Craft,Manipulate,,Manipulate,"The idea expressed here is that natural gas gave cooks the ability to ""control” or “manipulate” their cooking flames. It is not A, because to ""annihilate” is to ""destroy"" something. It is not B or C, because ""satisfy"" and ""craft"" do not mean “control.”","The text states that natural gas gave cooks the 'ability to precisely' control their cooking flame. The word 'manipulate' means to handle or control, typically in a skillful manner. This fits the context of professional chefs using gas ranges to finely adjust the flame for cooking.","This is incorrect. 'Annihilate' means to destroy utterly, which makes no sense in the context of controlling a cooking flame.","This is incorrect. 'Satisfy' means to meet a demand or need. While a controlled flame might satisfy a chef, the word does not describe the act of controlling the flame itself.","This is incorrect. 'Craft' means to make something skillfully. While cooking is a craft, this word does not fit grammatically or logically to describe what one does to a flame.","This is the correct answer. 'Manipulate' means to skillfully control or handle, which accurately describes what a chef does to precisely adjust a cooking flame."
DT-T0-RW-M2-3,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,3,Medium,Craft & Structure,Words_In_Context,Vocabulary,Vocabulary_Words_In_Context,multiple_choice,"The following text is from Nathaniel Hawthorne's 1852 novel The Blithedale Romance. ""...dear Hollingsworth, your own vocation is evidently to be a priest, and to spend your days and nights in helping your fellow-creatures to draw peaceful dying breaths."" As used in the text, what does the word ""draw"" most nearly mean?",,Inhale,Provoke,Infer,Sketch,,Inhale,"The sentence refers to drawing breaths, so “inhale"" is the best choice. Breathing is not directly associated with provoking, inferring, or sketching.","The phrase in question is 'to draw... breaths.' In the context of breathing, 'to draw a breath' is an idiom meaning to take a breath in, or to inhale. The other options do not relate to the physiological act of breathing.",This is the correct answer. 'To draw a breath' is a common idiom for inhaling.,"This is incorrect. 'Provoke' means to stimulate a reaction, which does not fit the context of breathing.","This is incorrect. 'Infer' means to deduce from evidence, a mental action unrelated to breathing.","This is incorrect. 'Sketch' means to draw a picture, which is a different meaning of the word 'draw' and does not fit the context of 'breaths'."
DT-T0-RW-M2-4,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,4,Easy,Information & Ideas,Central_Ideas_And_Details,Main_Idea,Comprehension_Main_Idea,multiple_choice,"The following text is from Upton Sinclair's 1906 novel The Jungle. The work which Jurgis was to do here was very simple... He was provided with a stiff besom...and it was his place to follow down the line the man who drew out the smoking entrails from the carcass of the steer; this mass was to be swept into a trap, which was then closed, so that no one might slip into it. Which choice best states the main purpose of the text?",,To analyze a character's motivations,To evaluate social conditions in the present-day United States,To describe a character's professional tasks,To consider a likely objection by the reader,,To describe a character's professional tasks,"The text describes Jurgis's job description. These lines ""describe a character's professional tasks."" We see nothing of personal motivation, as in Choice A. The selection is from over a century ago, making Choice B incorrect. These lines have nothing to do with the objection of the reader, as seen in Choice D.",The passage focuses entirely on the specific work Jurgis is assigned to do: he is given a broom (a besom) and told to sweep the entrails of a steer into a trap. The text details the tools and the process of his job. This is a straightforward description of his work.,"This is incorrect. The text describes what Jurgis does, but gives no insight into his thoughts or reasons for doing it (his motivations).","This is incorrect. The text is from a 1906 novel depicting a specific historical period, not the present-day United States.","This is the correct answer. The entire text is dedicated to explaining the simple, yet graphic, job that Jurgis was assigned.",This is incorrect. The text is a straightforward description and does not anticipate or address any objections from the reader.
DT-T0-RW-M2-5,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,5,Medium,Craft & Structure,Text_Structure_And_Purpose,Sentence_Analysis,Rhetoric_Sentence_Purpose,multiple_choice,"Spanning more than 1,500 miles, the border between Canada and the United States has been called the longest undefended international boundary... _But as anyone who has crossed from one side of Niagara Falls to the other knows, civilian law enforcement is present and accounted for at checkpoints on both sides of the boundary, where entrants are monitored and customs laws administered._ ...it can sometimes seem almost as though the distinction between Canada and the United States is more of policy than of practice. Which choice best states the function of the underlined sentence in the text as a whole?",,To analyze the economic consequences of international borders on global commerce,To explain the details of the security screenings that people who cross the U.S.-Canadian border must undergo,To give evidence of the continual border hostility that the United States and Canada have had since the war of 1812,"To clarify that although the United States and Canada have friendly relations, they are still clearly two different countries",,"To clarify that although the United States and Canada have friendly relations, they are still clearly two different countries","The sentences prior to this indicate that there is not much of a border between the United States and Canada, given how undefended it is. These lines clarify that the two countries are, in fact, very much independent of one another... And choice C is incorrect because the essay does not support the idea that there has been continued border hostility between the two countries since the War of 1812.","The text begins by suggesting the border is 'undefended' and that the distinction between the countries can 'seem' minimal. The underlined sentence, starting with 'But,' introduces a contrast. It clarifies that despite this general friendliness and lack of military presence, there is still official law enforcement, checkpoints, and customs administration. This serves to correct a potential misunderstanding and clarify that the two nations remain distinct and separate sovereign entities.",This is incorrect. The text does not discuss economics or global commerce.,"This is incorrect. While it mentions screenings, its main function is not to detail them but to use their existence to make a larger point about the two countries being separate.","This is incorrect. The passage emphasizes the 'remarkable amiability' of relations, directly contradicting the idea of 'continual border hostility'.","This is the correct answer. The sentence serves as a clarification, countering the idea of a completely open border to show that the countries are indeed separate and independent."
DT-T0-RW-M2-6,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,6,Hard,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"Ernest Hemingway speaks of the artistry of another culture's profanity with admiration in his celebrated novel, For Whom the Bell Tolls, wherein the narrator bears witness as obscenities and insults build to a high formalism and eventually collapse upon themselves, leaving the profanities implied rather than stated. The phenomenon described in the text is most like",,an aqueduct that is constructed in ancient times only to crumble as the centuries pass.,the development of architectural technology enabling ever higher construction.,the prohibition of subversive political meetings by an authoritarian dictator.,the evolution of painting from realistic portraiture to abstract expressionism.,,the evolution of painting from realistic portraiture to abstract expressionism.,"The text refers to a process in which words become less and less literal. The evolution of painting from realism to abstraction would be a similar shift away from literal or obvious meaning to a meaning that is implied. Choice A is about gradual decay of human constructions due to time, choice B is about the development of technology, and choice C is about stopping free expression.","The core phenomenon described is a shift from the explicit to the implicit. The profanity 'build[s] to a high formalism and eventually collapse[s],' leaving the meaning 'implied rather than stated.' We need to find an analogy for this shift from the literal/stated to the abstract/implied. The evolution of painting from realistic portraiture (a literal depiction) to abstract expressionism (an implied or emotional depiction) is a perfect parallel.","This is incorrect. This analogy represents simple decay over time, not a shift from the explicit to the implicit.","This is incorrect. This represents progress and development, not a collapse into an implied state.","This is incorrect. This represents suppression, not a transition in meaning or form.","This is the correct answer. This choice describes a similar artistic evolution from a direct, literal representation (realism) to a non-literal, implied form (abstraction), mirroring the shift in the use of profanity described in the text."
DT-T0-RW-M2-7,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,7,Easy,Craft & Structure,Text_Structure_And_Purpose,Passage_Analysis,Rhetoric_Passage_Structure,multiple_choice,Text 1 and Text 2 are adapted from different sections of the 1949 Geneva Conventions... The tones of both Text 1 and Text 2 can best be described as,,casual and relaxed.,analytical and indecisive.,formal and authoritative.,melancholy and spontaneous.,,formal and authoritative.,"The text is an excerpt from an official legal document. Its tone is ""formal"" and business-like, as the matter at hand is of such gravity. It is also ""authoritative”: the text is mandating that the international community must follow these new guidelines... Eliminate Choice D accordingly.","Both texts are excerpts from the Geneva Conventions, which are international treaties. The language used ('provisions which shall be implemented', 'the Detaining Power is responsible') is characteristic of legal and official documents. This language is 'formal' (serious and proper) and 'authoritative' (commanding and official).","This is incorrect. The language is strict and legalistic, the opposite of casual and relaxed.","This is incorrect. The texts are decisive, stating clear rules and responsibilities, not analyzing options indecisively.","This is the correct answer. The language is objective, serious, and states binding rules, which is best described as formal and authoritative.","This is incorrect. The tone is legal and objective, not sad (melancholy) or unplanned (spontaneous)."
DT-T0-RW-M2-8,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,8,Medium,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,Text 1...Melaleuca trees...displacing native plants...Florida has had to spend a great deal of money to remove these invasive trees. Text 2...an invasive species like honeysuckle...such action would likely strike a significant blow to native bird populations...areas that today are abundant in honeysuckle typically host $30\%$ to $40\%$ more birds... The author of Text 2 would most likely agree with which statement about Text 1?,,"While invasive species may cause damage, not all invasive species should be considered harmful.",Melaleuca trees demonstrate the importance of uniformly removing invasive species from the environment.,Honeysuckle plants and melaleuca plants show the need for a consistent approach to invasive species management.,"So long as invasive plants are not transported across oceans, they are unlikely to be harmful.",,"While invasive species may cause damage, not all invasive species should be considered harmful.","Text 2 presents evidence showing that an invasive plant, honeysuckle, can have a positive impact on the environment; this goes against the general suggestion about the negative impact of invasive plants from Text 1. It is not Choice B or C, because Text 2 does not suggest a consistent approach to the treatment of invasive plants. It is not Choice D, because the texts do not detail transportation recommendations about invasive plants.","Text 2 argues against a one-size-fits-all approach to invasive species, showing that honeysuckle can be beneficial. Text 1 describes a clear case where an invasive species (melaleuca) is harmful. The author of Text 2, seeing the melaleuca example, would likely concede that some species do cause damage, but would maintain their main point that a species's classification as 'invasive' does not automatically mean it should be removed, as some can be helpful. This matches choice A.","This is the correct answer. The author of Text 2 would agree that melaleuca trees caused damage (as stated in Text 1), but would use their own evidence about honeysuckle to argue that not all invasive species are necessarily bad.","This is incorrect. This is the opposite of Text 2's main point, which argues against uniform removal.","This is incorrect. The author of Text 2 argues for a nuanced, case-by-case approach, not a single consistent one.",This is incorrect. The texts provide no basis for this conclusion. Melaleuca came from across an ocean and was harmful.
DT-T0-RW-M2-9,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,9,Medium,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"The text is from Benjamin Franklin's 1771 autobiography. Having emerged from the poverty and obscurity in which I was born and bred, to a state of affluence... I should have no objection to a repetition of the same life from its beginning... It is reasonable to conclude from the text that Franklin's personal financial situation",,was as strong later in his life as it was when he was young.,worsened as he advanced in years.,had a random pattern of booms and busts over his life.,improved greatly over his lifetime.,,improved greatly over his lifetime.,"In the beginning of the text, Franklin describes being born into poverty and then achieving affluence. He entered the world poor but obtained wealth through his endeavors. This is most consistent with Choice D. Choices B and C imply at least some sort of financial hardship in adulthood, which was not the case. Choice A is flawed in that Franklin was not born wealthy.","Franklin explicitly states that he 'emerged from the poverty and obscurity in which I was born and bred, to a state of affluence.' This shows a clear trajectory from a poor financial situation at the start of his life to a wealthy one later on. This is a great improvement.","This is incorrect. The text states he started in 'poverty,' so his financial situation was weak when he was young.","This is incorrect. The text indicates his situation improved to 'affluence' and 'felicity,' not that it worsened.","This is incorrect. The text describes a steady improvement, not a random pattern.","This is the correct answer. The text directly contrasts his starting point ('poverty and obscurity') with his later 'state of affluence,' indicating a great improvement."
DT-T0-RW-M2-10,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,10,Hard,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"In the sense of Ferdinand Saussure's theory of semiotics...the use of literal profanity...garners part of its power by being the closest available union of signifier and signified... That is, the word is rude, because the thing itself-in a general context is also considered rude. One can reasonably conclude that Ferdinand Saussure believes that a major factor that gives profanity its power is",,the real-life things it represents.,its representation of conflict between symbolism and clarity.,the rarity with which its ideas are encountered.,its use by the socially dominant classes.,,the real-life things it represents.,"This is best seen when the author clarifies that “the word is rude, because the thing itself... is also considered rude."" In other words, profane words derive much of their power by standing for profane things. It is not B, because there is not conflict between these ideas discussed. And it is not C or D, because profane ideas are encountered frequently by a variety of social classes.","The text explains the power of profanity by stating, 'the word is rude, because the thing itself...is also considered rude.' This directly links the power of the word (the signifier) to the nature of the concept it stands for (the signified). Therefore, the power comes from the rude, real-life things the words represent.","This is the correct answer. The text explicitly links the rudeness of the word to the rudeness of 'the thing itself,' which is the real-life concept it represents.","This is incorrect. The text states that profanity is a 'union of signifier and signified,' which is a lack of conflict, not a representation of it.","This is incorrect. The text does not discuss the rarity of the ideas, and in fact, profanity is quite common.",This is incorrect. The text does not mention social class as a factor in the power of profanity.
DT-T0-RW-M2-11,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,11,Hard,Information & Ideas,Command_Of_Evidence,Quantitative,Evidence_Quantitative_Graph,multiple_choice,"A scientist makes this statement: “Take a walk through the woods almost anywhere in the temperate U.S. and you'll probably come across clusters of honeysuckle... none of these plants developed here naturally, but were introduced by human activity."" Based on the quotation and the statement, what would the scientist say would be the most likely consequence of tourism with respect to invasive plants in the Galapagos between 1980 and 2010?",DT-T0-RW-M2-11_image.png,"Due to an increase in humanity's awareness of the Galapagos, it is more likely that a desire for environmental stewardship of the islands will grow.","Due to an increase in economic activity as a result of tourism, the inhabitants of the Galapagos will have more money with which to combat unwanted plant species.","Due to an increase in human contact, it is more likely that nonnative organisms will be introduced by accident.","Due to an increase in hotel construction as a consequence of tourism, intentional cultivation of invasive species will grow.",,"Due to an increase in human contact, it is more likely that nonnative organisms will be introduced by accident.","The text indicates that some nonnative plants are introduced to new environments through human contact. With an increase in human visitation, the Galapagos Islands will likely experience more accidental introduction of plants... And it is not D, because the text does not support the notion that humans will consistently seek to purposefully introduce invasive species to new environments.","The task requires synthesizing three pieces of information: (1) The graph shows a dramatic increase in visitors (tourism) to the Galapagos. (2) Tourism is a form of increased 'human contact.' (3) The scientist's statement establishes a direct link between 'human activity' and the introduction of nonnative plants. Therefore, the scientist would conclude that the rise in tourism (human contact) would most likely lead to more accidental introductions of nonnative (invasive) plants.","This is a possible but indirect consequence, not the most likely one based on the scientist's specific statement about human activity introducing plants.","This is a potential secondary effect, but the scientist's statement focuses on the direct biological consequence of human presence, not the economic one.",This is the correct answer. It directly connects the increase in tourism shown on the graph (human contact) with the principle outlined in the scientist's statement (human activity introduces nonnative organisms).,"This is incorrect. The scientist's statement discusses plants being 'introduced,' which often happens by accident (e.g., seeds on shoes), not through 'intentional cultivation'."
DT-T0-RW-M2-12,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,12,Medium,Information & Ideas,Command_Of_Evidence,Textual,Evidence_Textual_Support,multiple_choice,A historian argues that the primary advantage of the Fraktur variety of blackletter font was that it balanced elegance with functionalism. Which quotation from the historian's essay most effectively illustrates this claim?,,"Though far less calligraphic than textualis, Fraktur is nonetheless more intricate than Schwabacher, and combines the soft readability of the latter with the bold regality of the former.","Antiqua's subversion of blackletter began gradually, appearing primarily in scientific texts (which valued readability over appearance).","By far the most familiar blackletter style, Fraktur originated at the end of the 15th century through a commission of the Holy Roman Emperor Maximilian I.",The revolutionary scale of his innovation firmly established blackletter -particularly the Schwabacher and Fraktur varieties-as the preferred script for printed texts throughout Europe.,,"Though far less calligraphic than textualis, Fraktur is nonetheless more intricate than Schwabacher, and combines the soft readability of the latter with the bold regality of the former.","This option shows “elegance"" by stating that Fraktur is ""intricate"" and has ""regality;” it also shows functionalism by mentioning “readability."" It is not B, C, or D, because these choices focus on the timeline of the font's development.","The claim is that Fraktur 'balanced elegance with functionalism.' We need a quote that addresses both aspects. Choice A does this perfectly: it mentions 'elegance' through words like 'intricate' and 'bold regality,' and it mentions 'functionalism' through the word 'soft readability.' It explicitly combines these two qualities.","This is the correct answer. It is the only option that explicitly discusses both the aesthetic qualities (elegance: 'intricate', 'regality') and practical qualities (functionalism: 'readability') of Fraktur.","This is incorrect. This quote discusses Antiqua, not Fraktur, and presents readability and appearance as opposing values, not balanced ones.",This is incorrect. This quote provides historical context about Fraktur's origin but does not discuss its specific features of elegance or functionalism.,This is incorrect. This quote discusses the widespread establishment of blackletter fonts but does not detail the specific balance of features within Fraktur itself.
